sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
61,6.24658669999999,"2026-04-22T16:39:24.9174223Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03412373,1.561483,-0.7606016,0.07540229,-0.1266076,0.03739543,0.9883757,0,,,,,,
62,6.25951740000001,"2026-04-22T16:39:24.9305379Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03452354,1.562054,-0.7605289,0.07373185,-0.1261711,0.03873367,0.9885061,0,,,,,,
63,6.2698973,"2026-04-22T16:39:24.9410654Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03440882,1.562453,-0.7606122,0.07299474,-0.1228338,0.04007868,0.9889274,0,,,,,,
64,6.2810061,"2026-04-22T16:39:24.9520603Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03390193,1.562465,-0.7605923,0.07349964,-0.1196427,0.04028443,0.9892728,0,,,,,,
65,6.2934194,"2026-04-22T16:39:24.9646881Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03344842,1.562452,-0.7604863,0.07378484,-0.1164085,0.04014771,0.9896429,0,,,,,,
66,6.3026811,"2026-04-22T16:39:24.9734778Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03301735,1.562554,-0.76034,0.07345972,-0.1135189,0.04001077,0.9900082,0,,,,,,
67,6.313478,"2026-04-22T16:39:24.9845687Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03227014,1.562569,-0.7601279,0.07293321,-0.1108266,0.04070878,0.9903237,0,,,,,,
68,6.3249945,"2026-04-22T16:39:24.9961048Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03180424,1.562674,-0.759819,0.07203534,-0.1087787,0.04111087,0.9905999,0,,,,,,
69,6.33618990000001,"2026-04-22T16:39:25.0071335Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03139136,1.562809,-0.7594996,0.07189183,-0.1074062,0.04213175,0.9907171,0,,,,,,
70,6.3471401,"2026-04-22T16:39:25.0182617Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03092298,1.56272,-0.7591144,0.07117163,-0.1073644,0.04139778,0.9908046,0,,,,,,
71,6.35889179999999,"2026-04-22T16:39:25.0297707Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03071317,1.562821,-0.758712,0.07093871,-0.1083924,0.04292515,0.9906444,0,,,,,,
72,6.3703197,"2026-04-22T16:39:25.0412463Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03060056,1.562785,-0.7583342,0.07137545,-0.1096182,0.04187281,0.9905231,0,,,,,,
73,6.3811714,"2026-04-22T16:39:25.0522211Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03048141,1.562668,-0.7580029,0.07179765,-0.1107947,0.04217611,0.9903488,0,,,,,,
74,6.39230910000001,"2026-04-22T16:39:25.0632247Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03028379,1.562425,-0.7576572,0.0740163,-0.1110851,0.04147343,0.9901826,0,,,,,,
75,6.4019291,"2026-04-22T16:39:25.0730961Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03003874,1.562032,-0.7573667,0.07558664,-0.1117646,0.04026845,0.9900373,0,,,,,,
